batch_size,epoch,dropout,l2,cell
 2 , 40 , 0.2 , 1e-07 , GRU
 4 , 20 , 0.2 , 1e-07 , biGRU
 16 , 10 , 0.0 , 1e-07 , GRU
 8 , 10 , 0.0 , 1e-07 , biGRU
 2 , 10 , 0.4 , 0.001 , biGRU
 16 , 20 , 0.1 , 1e-05 , biGRU
 8 , 30 , 0.1 , 1e-07 , GRU
 16 , 40 , 0.0 , 0.001 , GRU
 2 , 30 , 0.3 , 1e-05 , biLSTM
 2 , 10 , 0.2 , 0.001 , biGRU
 4 , 30 , 0.3 , 1e-05 , biLSTM
 16 , 10 , 0.0 , 1e-05 , biGRU
 4 , 30 , 0.1 , 1e-07 , biLSTM
 64 , 100 , 0.1 , 1e-07 , GRU
 8 , 10 , 0.1 , 1e-05 , GRU
 8 , 50 , 0.4 , 0.001 , GRU
